id,filepath,class_label,source_type,width,height,created_at
1,data/processed/acnee/07Acne0811011 - Copy_1.png,acnee,original,200,200,2026-01-07T23:12:51
2,data/processed/acnee/07Acne0811011_2.png,acnee,original,200,200,2026-01-07T23:12:51
3,data/processed/acnee/07Acne081101_0.png,acnee,original,200,200,2026-01-07T23:12:51
4,data/processed/acnee/07AcnePittedScars1_4.png,acnee,original,200,200,2026-01-07T23:12:51
5,data/processed/acnee/07AcnePittedScars_3.png,acnee,original,200,200,2026-01-07T23:12:51
6,data/processed/acnee/07PerioralDermEye_5.png,acnee,original,200,200,2026-01-07T23:12:51
7,data/processed/acnee/07PerioralDermNose_6.png,acnee,original,200,200,2026-01-07T23:12:51
8,data/processed/acnee/07PerioralDermq_7.png,acnee,original,200,200,2026-01-07T23:12:51
9,data/processed/acnee/07PerioralSteroid1_8.png,acnee,original,200,200,2026-01-07T23:12:51
10,data/processed/acnee/07PerlecheAccutane_9.png,acnee,original,200,200,2026-01-07T23:12:51
11,data/processed/acnee/07Rhinophyma1a_11.png,acnee,original,200,200,2026-01-07T23:12:51
12,data/processed/acnee/07Rhinophyma1_10.png,acnee,original,200,200,2026-01-07T23:12:51
13,data/processed/acnee/07Rhinophymaq_12.png,acnee,original,200,200,2026-01-07T23:12:51
14,data/processed/acnee/07rhnophymas0321051_14.png,acnee,original,200,200,2026-01-07T23:12:51
15,data/processed/acnee/07rhnophymas032105_13.png,acnee,original,200,200,2026-01-07T23:12:51
16,data/processed/acnee/07rosacea010206OK_15.png,acnee,original,200,200,2026-01-07T23:12:51
17,data/processed/acnee/07RosaceaForehead_16.png,acnee,original,200,200,2026-01-07T23:12:51
18,data/processed/acnee/07RosaceaFulFAce1 - Copy_18.png,acnee,original,200,200,2026-01-07T23:12:51
19,data/processed/acnee/07RosaceaFulFAce1_19.png,acnee,original,200,200,2026-01-07T23:12:51
20,data/processed/acnee/07RosaceaFulFAce_17.png,acnee,original,200,200,2026-01-07T23:12:51
21,data/processed/acnee/07RosaceaK02161_21.png,acnee,original,200,200,2026-01-07T23:12:51
22,data/processed/acnee/07RosaceaK02162_22.png,acnee,original,200,200,2026-01-07T23:12:51
23,data/processed/acnee/07RosaceaK02163_23.png,acnee,original,200,200,2026-01-07T23:12:51
24,data/processed/acnee/07RosaceaK02164_24.png,acnee,original,200,200,2026-01-07T23:12:51
25,data/processed/acnee/07RosaceaK02165_25.png,acnee,original,200,200,2026-01-07T23:12:51
26,data/processed/acnee/07RosaceaK02166_26.png,acnee,original,200,200,2026-01-07T23:12:51
27,data/processed/acnee/07RosaceaK0216_20.png,acnee,original,200,200,2026-01-07T23:12:51
28,data/processed/acnee/07RosaceaMilia0120_27.png,acnee,original,200,200,2026-01-07T23:12:51
29,data/processed/acnee/07RosaceaOK0828062_29.png,acnee,original,200,200,2026-01-07T23:12:51
30,data/processed/acnee/07RosaceaOK08280631 - Copy_31.png,acnee,original,200,200,2026-01-07T23:12:51
31,data/processed/acnee/07RosaceaOK0828063_30.png,acnee,original,200,200,2026-01-07T23:12:51
32,data/processed/acnee/07RosaceaOK082806_28.png,acnee,original,200,200,2026-01-07T23:12:51
33,data/processed/acnee/07RosaceaTel011204_32.png,acnee,original,200,200,2026-01-07T23:12:51
34,data/processed/acnee/07rosaceaTreated091806OK_33.png,acnee,original,200,200,2026-01-07T23:12:51
35,data/processed/acnee/07sebDerem1101051_35.png,acnee,original,200,200,2026-01-07T23:12:51
36,data/processed/acnee/07sebDerem1101052_36.png,acnee,original,200,200,2026-01-07T23:12:51
37,data/processed/acnee/07sebDerem110105_34.png,acnee,original,200,200,2026-01-07T23:12:51
